"municipio","area_territorial","populacao","densidade_demografica","populacao_estimada","escolarizacao","idhm","mortalidade_infantil","receitas_brutas","despesas_brutas","pib_per_capita"
"Tocos do Moji",114.705,3826,33.36,3894,100,0.696,20,36307168.04,32716276.46,21608.21
"Toledo",136.776,7214,52.74,7625,99.1,0.661,13.7,47471893.42,47876104.26,17413.05
"Tombos",285.124,8609,30.19,8653,99.69,0.718,13.89,49399173.81,46803973.19,19520.55
"Três Corações",828.038,75485,91.16,78291,99.58,0.744,13.22,381107885.18,389446838.04,47277.07
"Três Marias",2678.254,28895,10.79,29985,99.81,0.752,NA,246605706.76,238331699.68,89376.4
"Três Pontas",689.794,55255,80.1,57209,99.51,0.731,12.35,331014298.72,333166922.86,41417.07
"Tumiritinga",500.073,5886,11.77,5955,99.33,0.626,26.67,55048433.63,54755536.5,16056.74
"Tupaciguara",1822.53,25470,13.98,26583,98.52,0.719,17.01,196519288.14,184338617.71,54974.93
"Turmalina",1153.111,20000,17.34,20769,100,0.682,9.26,121529289.5,115115464.27,24343.45
"Turvolândia",221,4935,22.33,5097,100,0.696,15.63,45297554.63,45685534.33,32184.72
"Ubá",407.452,103365,253.69,107423,97.13,0.724,8.74,563593275.19,498631709.54,43169.47
"Ubaí",820.524,11708,14.27,11985,99.74,0.609,NA,58198037.41,56175858.05,12133.34
"Ubaporanga",189.045,13017,68.86,13485,98.93,0.614,13.7,68953205.52,61227027.49,17452.84
"Uberaba",4523.957,337836,74.68,356781,98.09,0.772,10.2,2364875962.74,2144400106.09,70120.94
"Uberlândia",4115.206,713224,173.31,761835,98.83,0.789,10.56,4504632618.18,4758850443.09,71598.38
"Umburatiba",405.834,2684,6.61,2742,100,0.638,32.26,34372611.42,33384753.67,20220.1
"Unaí",8445.432,86619,10.26,91320,98.73,0.736,6.69,568941733.07,542563355.86,60281.57
"União de Minas",1147.407,3828,3.34,3818,98.93,0.672,25,46556961.52,37911963.23,49027.83
"Uruana de Minas",598.221,3282,5.49,3365,99.39,0.664,43.48,41743631.14,39467816.62,29293.76
"Urucânia",138.792,10600,76.37,10899,98.67,0.633,NA,57808938.54,48943117.2,33597.84
"Urucuia",2076.942,17479,8.42,18515,98.81,0.619,8.4,84237570.33,86758431.14,13209.38
